                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.62859,                0.64141,                 1.0109,                0.68424,                0.65893,                0.70858,                0.55516,                0.81595,                 1.1102,                  1.135,             0.00060326,             0.00060326,             0.00060326
                     49,                0.60966,                0.62226,                 0.9956,                0.74919,                0.66144,                  0.732,                0.58042,                0.81267,                 1.0808,                 1.1464,              0.0006009,              0.0006009,              0.0006009
                     50,                0.59833,                0.60536,                0.98962,                0.81839,                0.67998,                 0.7617,                 0.6007,                0.79749,                  1.081,                 1.1268,             0.00059855,             0.00059855,             0.00059855
                     51,                0.59739,                0.60437,                0.98377,                0.82997,                0.68792,                0.77377,                0.61121,                0.80752,                 1.0306,                 1.1616,             0.00059619,             0.00059619,             0.00059619
                     52,                0.58481,                0.57407,                0.98195,                0.83313,                0.67033,                0.77385,                0.61361,                0.82779,                0.95157,                 1.1612,             0.00059383,             0.00059383,             0.00059383
                     53,                0.61219,                0.60809,                 0.9992,                 0.7341,                0.68015,                 0.7175,                 0.5756,                0.82584,                 1.1845,                 1.1529,             0.00059148,             0.00059148,             0.00059148
                     54,                 0.5738,                0.57871,                0.97207,                0.72311,                0.70014,                0.74814,                0.59421,                0.78761,                 1.1018,                 1.1003,             0.00058912,             0.00058912,             0.00058912
                     55,                0.58932,                0.58973,                0.98836,                 0.7756,                0.67072,                0.75997,                0.59449,                0.81589,                 1.1048,                   1.14,             0.00058677,             0.00058677,             0.00058677
                     56,                0.59634,                0.59209,                 0.9905,                0.77653,                0.65564,                0.74522,                0.59876,                 0.7781,                 1.0414,                 1.1216,             0.00058441,             0.00058441,             0.00058441
                     57,                0.60562,                0.58685,                0.99035,                0.75263,                0.67987,                0.75277,                0.60817,                0.76781,                 1.0639,                 1.1016,             0.00058205,             0.00058205,             0.00058205
                     58,                0.58686,                0.56474,                0.97213,                0.83611,                0.71497,                 0.7956,                0.64689,                0.74864,                0.89695,                 1.0968,              0.0005797,              0.0005797,              0.0005797
                     59,                0.57301,                0.55128,                0.96528,                0.76666,                0.68418,                0.74798,                0.59321,                0.79263,                 1.0088,                 1.1304,             0.00057734,             0.00057734,             0.00057734
                     60,                0.56193,                0.55315,                0.96571,                0.76696,                   0.71,                0.77863,                0.61663,                0.80216,                0.99217,                 1.1356,             0.00057498,             0.00057498,             0.00057498
                     61,                0.59211,                0.56169,                  0.979,                0.77884,                 0.6608,                0.76117,                0.61624,                0.77436,                0.96469,                 1.1021,             0.00057263,             0.00057263,             0.00057263
                     62,                0.58883,                0.57478,                0.98803,                0.81157,                0.64998,                0.77087,                0.62487,                0.74643,                0.95591,                 1.0819,             0.00057027,             0.00057027,             0.00057027
                     63,                 0.5629,                0.53911,                0.97156,                0.79606,                0.64504,                0.74468,                0.59356,                0.80129,                 1.0746,                 1.1215,             0.00056792,             0.00056792,             0.00056792
